Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
71957695,"Aug 3, 2013, 7:04:44 PM",Rhode Island ,Ride,,10800,77.24,,,false,,,,68.0,,10800.0,10800.0,77248.7,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
72726394,"Aug 6, 2013, 8:45:29 PM",Speed loop 1,Ride,,3272,26.58,,,false,,Specialized Roubaix ,activities/72726394.gpx,68.0,,3272.0,3272.0,26588.6,15.6,,172.6,,71.6,154.3,28.8,0.0,,,,,,,,166.0,605.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,890914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
73244857,"Aug 8, 2013, 9:10:31 PM",NCC Thursday Night Hillclimb,Ride,,10138,73.67,,,false,,Specialized Roubaix ,activities/73244857.gpx,68.0,,10138.0,9333.0,73672.4,20.2,,819.9,,36.4,404.7,47.7,0.0,,,,,,,,181.0,1888.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,890914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
73618097,"Aug 10, 2013, 11:51:47 AM",Saturday Shelburne Falls ,Ride,,14160,83.06,,,false,,Specialized Roubaix ,activities/73618097.gpx,68.5,,14160.0,12321.0,83065.0,20.3,,1215.4,,43.4,404.9,50.0,0.0,,,,,,,,165.0,2260.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,890914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
74234088,"Aug 12, 2013, 8:40:50 PM",Afternoon Ride with unpaved surface,Ride,,6251,38.44,,,false,,Specialized Roubaix ,activities/74234088.gpx,68.5,,6251.0,6122.0,38443.2,17.5,,488.9,,42.4,259.4,46.7,0.0,,,,,,,,136.0,927.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,890914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
74246273,"Aug 12, 2013, 10:49:36 PM",Post bike running ,Run,,3579,11.55,,,false,,,activities/74246273.gpx,68.5,,3579.0,3571.0,11557.8,5.5,,99.5,,54.3,95.4,31.8,0.0,,,,,,,,,986.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
75707150,"Aug 18, 2013, 4:55:30 PM",Mt. Cadillac Climb and return ,Ride,,6817,41.06,,,false,,Specialized Roubaix ,activities/75707150.gpx,68.5,,6817.0,5350.0,41061.0,19.0,,545.7,,0.7,459.4,47.2,-0.3,,,,,,,,164.0,976.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,890914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
75789938,"Aug 16, 2013, 3:30:22 PM",Acadia National Park Ride ,Ride,,14244,89.48,,,false,,Specialized Roubaix ,,68.5,,14244.0,14244.0,89479.7,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,890914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
76540271,"Aug 21, 2013, 9:14:36 PM",Wednesday Night NCC B ride ,Ride,,8575,65.04,,,false,,Specialized Roubaix ,activities/76540271.gpx,68.5,,8575.0,7532.0,65046.0,16.2,,227.3,,30.3,96.6,34.7,0.0,,,,,,,,188.0,1577.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,890914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
76960621,"Aug 23, 2013, 4:17:40 PM",Mt. Tom via Southampton ,Ride,,9020,62.87,,,false,,Specialized Roubaix ,activities/76960621.gpx,68.5,,9020.0,8540.0,62877.7,23.1,,645.7,,32.5,211.0,49.7,0.0,,,,,,,,158.0,1501.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,890914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
