Comment Date,Comment
"Aug 9, 2013, 4:06:47 AM","Thanks Tim, glad I didn't get left behind for the wolves haha. Hope to do some more group rides it was a lot of fun. Might even join the club if I am in Western MA next summer."
"Aug 13, 2013, 3:11:18 AM",that road looks awesome 
"Aug 22, 2013, 5:11:31 PM","Also Lauren Hill Rd > Fomer Rd. in Southampton, but bring some wider tires.
Nice tour around the White Reservoir and Tighe Carmody Reservoir 
"
"Aug 25, 2013, 11:48:43 PM",Thanks! It was a great day to get out and ride. 
"Sep 10, 2013, 2:52:16 PM","Agreed, plenty of headwind and tired legs didn't help but it was nice and pretty at least "
"Jul 17, 2014, 12:49:14 AM",If there's a B group id love to join next week 
"Jul 25, 2014, 12:13:29 AM","Woah, what's this? Cycle speed-ring?"
"Jul 25, 2014, 12:15:01 AM",The GPS lost signal on the biggest descent...f*#%! 
"Aug 7, 2014, 12:50:54 AM",I wish I could have traded my final 5 miles for that beer stop 
"Sep 2, 2014, 12:24:32 AM",50 mph..!? 
"Sep 2, 2014, 2:55:45 AM",Thank god there's a Cumberland Farms in Ware haha. It was a burner but my longest ride to date so it felt good to finish. 
"Sep 6, 2014, 3:38:53 PM",50mph nice! 
"Sep 7, 2014, 8:53:29 PM",Saw you guys coming back down 63 as I was heading up! Looks like an awesome ride 
"Sep 8, 2014, 12:48:44 AM",Wishing I did this one today
"Jan 10, 2015, 11:56:16 PM",This Zwift thing looks really fun
"May 17, 2015, 11:46:08 PM",Looks like you almost needed your passport!
"May 20, 2015, 11:52:05 PM",Come ride out in Western MA!
"Jun 4, 2015, 10:36:00 PM",Thank you Roger. Either the B group got a lot faster or I got slower and I'm guessing the later!
"Jun 8, 2015, 12:17:59 AM","Too short for any meaningful segments/data, also in the middle of a busy intersection."
"Jun 11, 2015, 1:54:16 AM",Sorry I missed this one! Decided to start early and go for broke 
"Apr 22, 2016, 4:15:03 AM",Do you live near Somerville? I see your ride takes you almost right to my house 
"Apr 23, 2016, 12:24:04 AM",Let's ride together sometime. I live in Powerhouse 
"Jun 7, 2016, 7:44:59 PM","Segment: Ow ow ow ow ow

Twice as fast as the next fastest riders, doing 35mph on a 12% grade climb"
"Jun 13, 2016, 1:29:07 AM",Too short for accurate times
"Jun 22, 2016, 3:08:06 AM",The infamous Spring Street!
"Jun 22, 2016, 3:50:45 PM","	         Avg	           Max
Speed	45.7mi/h	78.1mi/h

Don't think so!"
"Jul 3, 2016, 5:49:06 AM",If only I did 60 more feet of climbing!
"Jul 8, 2016, 1:04:46 PM",Jealous! I wanna ride the cape this summer 
"Jul 24, 2016, 11:51:12 PM", Nice !
"Jul 24, 2016, 11:52:10 PM",Nice job battling the heat
"Oct 15, 2016, 8:37:37 PM",Looks like I followed your tracks up to Worthington 
"Jan 26, 2017, 2:36:11 AM",How are the conditions now?
"Feb 1, 2017, 2:44:12 AM",Cross country skiing at Weston Ski Track Nick Huber - Storage Squad 
"Feb 1, 2017, 4:01:34 AM", Good job!
"Feb 5, 2017, 9:00:58 PM",Nice! Savage revenge is brutal 
"Apr 15, 2017, 10:17:44 PM",Daaaaaamn nice! 
"Apr 17, 2017, 6:40:50 AM",Decent speed 
"Apr 29, 2017, 1:50:19 AM",Congratulations !
"May 12, 2017, 12:11:06 PM",Interesting to see where the actual high-speed zones are
"Jun 21, 2017, 8:23:20 PM",I want to do some version of this very soon
"Jun 21, 2017, 8:24:11 PM",Including the Methadone Mile in the route was probably a bad idea in hindsight 
"Jul 1, 2017, 3:54:57 PM",It's deadly out there!
"Jul 2, 2017, 4:56:09 PM",Nice! 
"Jul 2, 2017, 4:57:15 PM",Fantastic 
"Jul 12, 2017, 1:39:27 PM",Lovely place to ride
"Jul 16, 2017, 8:02:33 PM",That bumpy pavement is the worst!
"Jul 16, 2017, 11:57:26 PM",Damn nice climb!!
"Jul 16, 2017, 11:59:39 PM",Impressive climb!
"Jul 20, 2017, 12:13:50 AM",Lmao just when I thought I had the daily best on Washington to Somerville... well done
"Aug 3, 2017, 4:32:00 PM",This is properly fast 
"Aug 4, 2017, 1:09:10 AM",Is that a bike or a spaceship? 
"Aug 4, 2017, 1:09:23 AM",Looking awesome! 
"Aug 11, 2017, 2:23:19 AM",Weird I also got a flat there too 
"Aug 11, 2017, 2:24:44 AM",Amazing-  I want to do something similar I used to live close to where you finished 
"Aug 12, 2017, 7:26:58 PM",Amazing effort on the climbs 
"Aug 13, 2017, 1:35:37 PM",Literally racing through an extremely busy intersection 
"Aug 20, 2017, 8:02:13 PM",I think I got stung by a bee at one point but there was enough pain going on elsewhere that it wasn't too noticeable 
"Aug 20, 2017, 8:03:28 PM",Very nice ride today 
"Sep 15, 2017, 8:54:07 PM",Nice!
"Oct 31, 2017, 9:18:55 PM",Nice KOMs!
"Nov 19, 2017, 5:47:36 PM",God damn you're one fast bastard!
"Nov 19, 2017, 9:23:54 PM",First time racing a half and hit my goal of 1:45 
"Nov 20, 2017, 1:27:04 AM",Goddamn dude 
"Nov 28, 2017, 4:24:07 AM",Have put on a lot more miles since! 
