Category,Flagged Type,Flagged ID,Comments,Created At
"Vehicular traffic, stop signs, stop lights or busy intersections",Segment,718069,"Too short for any meaningful segments/data, also in the middle of a busy intersection.","Jun 8, 2015, 12:17:59 AM"
Bad GPS data,Activity,579336298,"Segment: Ow ow ow ow ow

Twice as fast as the next fastest riders, doing 35mph on a 12% grade climb","Jun 7, 2016, 7:44:59 PM"
Unknown,Segment,9802834,Too short for accurate times,"Jun 13, 2016, 1:29:07 AM"
Bad GPS data,Activity,137774058,"	         Avg	           Max
Speed	45.7mi/h	78.1mi/h

Don't think so!","Jun 22, 2016, 3:50:45 PM"
"Vehicular traffic, stop signs, stop lights or busy intersections",Segment,9602593,Literally racing through an extremely busy intersection ,"Aug 13, 2017, 1:35:37 PM"
Activity was in a vehicle,Activity,1785017066,Looks like the last part of the ride was in a car (speeds 40-60mph not on a downhill) ,"Aug 20, 2018, 1:33:14 PM"
"Vehicular traffic, stop signs, stop lights or busy intersections",Segment,13104123,"Big descent with a STOP sign half way down which this segment would encourage you to ignore. 

 Normally I wouldn't report a segment, but a couple years ago on this same downhill I hit a car at the intersection (Oakland @ Park Ave) in the middle of this segment and was hospitalized -thankfully only a broken bone and bike but could have died if landed differently. 

Want to prevent others from the same risk. ","May 23, 2019, 2:48:06 PM"
Bad GPS data,Activity,1072447382,Shows 56.5mi/h on one segment -  must have either glitched if you look at the distance vs the map,"May 27, 2019, 9:11:03 PM"
Bad GPS data,Activity,2337428953,impossible times on segments (bad gps),"May 30, 2019, 1:42:26 PM"
Bad GPS data,Activity,2290092887,impossible time on bridge segment ,"May 30, 2019, 1:43:10 PM"
Bad GPS data,Activity,2365800311,Bad GPS data on mile times ,"May 30, 2019, 2:46:06 PM"
Bad GPS data,Activity,2318155060,gaps in GPS data leading to incorrect segment times ,"May 30, 2019, 2:47:02 PM"
Wrong activity type,Activity,1569926772,second half looks to be on a bike ,"May 30, 2019, 2:48:57 PM"
Bad GPS data,Activity,2045091053,missing GPS data leading to bad segment times ,"May 30, 2019, 2:49:39 PM"
Activity was in a vehicle,Activity,2389653298,looks like part is on the train ,"May 30, 2019, 2:51:20 PM"
Wrong activity type,Activity,2395512982,looks to be on a bike ,"May 30, 2019, 2:53:25 PM"
Activity was in a vehicle,Activity,1984907595,Looks like part was in a train ,"May 30, 2019, 2:54:16 PM"
Activity was in a vehicle,Activity,2340988200,Looks like part of the activity was in a car ,"May 30, 2019, 3:28:09 PM"
Activity was in a vehicle,Activity,2340988200,Looks like part of the activity was in a car ,"May 30, 2019, 3:28:10 PM"
Bad GPS data,Activity,547423881,bad GPS track unfortunately ,"Jun 6, 2019, 1:54:36 PM"
Activity was in a vehicle,Activity,2415025222,Part of this activity looks like it was recorded on the train,"Jun 25, 2019, 1:48:24 AM"
Activity was in a vehicle,Activity,2452963626,Clearly in a car driving on the interstate ,"Jun 28, 2019, 5:13:12 PM"
Bad GPS data,Activity,1006639341,"GPS Data looks off, please review to ensure was on bike ","Aug 6, 2019, 3:18:54 PM"
Activity was in a vehicle,Activity,2393360065,2nd half looks to be in a vehicle ,"Aug 6, 2019, 3:23:14 PM"
Bad GPS data,Activity,1047460644,Bad GPS data in this ride is evident ,"Aug 6, 2019, 4:31:35 PM"
Activity was in a vehicle,Activity,2486361135,They hit 60mph on the highway ,"Aug 7, 2019, 1:51:14 AM"
Activity was in a vehicle,Activity,1661137300,They get in a vehicle around mile 6,"Aug 7, 2019, 1:52:27 AM"
Activity was in a vehicle,Activity,1679432216,Part of the activity looks to be in a vehicle after mile 6,"Aug 7, 2019, 1:54:08 AM"
Bad GPS data,Activity,9756549,GPS data has jumps - might just be because it was a long time ago and tech wasn't quite as accurate ,"Aug 7, 2019, 2:03:43 AM"
Activity was in a vehicle,Activity,780191915,Motorcycle ride ,"Dec 1, 2019, 6:05:55 PM"
Dangerous descent or unsafe corners,Segment,20881564,Dangerous descent with a stop sign halfway through the segment,"Apr 23, 2020, 12:57:23 AM"
Activity was in a vehicle,Activity,3171369192,Activity partially in vehicle - needs crop,"May 10, 2020, 7:29:35 PM"
Activity was in a vehicle,Activity,3406605441,Activity partially in vehicle - needs crop,"May 10, 2020, 7:30:04 PM"
Activity was in a vehicle,Activity,2747347670,Activity partially in vehicle - needs crop,"May 10, 2020, 7:32:50 PM"
I don't like it,Post,6394329,"","May 29, 2020, 2:30:21 AM"
Wrong activity type,Activity,1899171934,bike,"Jun 2, 2020, 5:47:48 PM"
Wrong activity type,Activity,1882533402,bike,"Jun 2, 2020, 5:49:08 PM"
Activity was in a vehicle,Activity,1863889458,Vehicle in the last few miles ,"Jun 3, 2020, 10:12:16 PM"
Wrong activity type,Activity,3573650530,E-Bike Ride,"Jun 7, 2020, 1:20:38 AM"
Activity was in a vehicle,Activity,3420515577,Looks like the last mile is in a car,"Jun 12, 2020, 3:40:50 PM"
Bad GPS data,Activity,338174547,"Showing speeds >50 Mph,  might be bad GPS","Jun 12, 2020, 3:53:07 PM"
Activity was in a vehicle,Activity,2985459777,Vehicle speeds,"Jun 14, 2020, 9:41:19 PM"
