Following Athlete ID,Follow Status,Favorite Status
69116062,Accepted,Boost Activities in Feed
22540261,Accepted,Boost Activities in Feed
4019906,Accepted,Boost Activities in Feed
9827207,Accepted,Boost Activities in Feed
206543982,Accepted,""
1147430,Accepted,""
91860586,Pending,""
37620155,Accepted,""
139547038,Accepted,""
23087780,Accepted,""
34343846,Accepted,""
121824454,Accepted,""
160241797,Accepted,""
322332,Accepted,""
120966115,Accepted,""
1481057,Accepted,""
72351824,Accepted,""
10393383,Accepted,""
41471961,Accepted,""
48465875,Accepted,""
9188604,Accepted,""
12980715,Pending,""
1866361,Accepted,""
16762390,Accepted,""
24742410,Accepted,""
57188455,Accepted,""
11023904,Accepted,""
4917867,Accepted,""
62717308,Pending,""
128135440,Accepted,""
44706438,Accepted,""
45061114,Accepted,""
162359452,Accepted,""
5333499,Pending,""
90422348,Accepted,""
169128810,Accepted,""
39610131,Accepted,""
118639771,Accepted,""
36913628,Accepted,""
9424298,Accepted,""
37387009,Accepted,""
62325152,Accepted,""
86995111,Accepted,""
43711701,Accepted,""
44231431,Accepted,""
54066838,Accepted,""
85654759,Accepted,""
127502026,Accepted,""
71354757,Accepted,""
123448731,Accepted,""
70784488,Accepted,""
113773903,Accepted,""
141240022,Accepted,""
8489033,Accepted,""
154932079,Accepted,""
139585472,Accepted,""
1806251,Accepted,""
43732153,Accepted,""
75556482,Accepted,""
129583110,Accepted,""
231153,Accepted,""
129169806,Accepted,""
31839153,Accepted,""
25267133,Accepted,""
45404803,Pending,""
155650690,Accepted,""
52244725,Accepted,""
23933509,Accepted,""
26131103,Accepted,""
122492333,Accepted,""
65400200,Accepted,""
37701510,Accepted,""
52689552,Pending,""
32402193,Accepted,""
86585005,Accepted,""
39329527,Accepted,""
63660367,Accepted,""
58494660,Accepted,""
93834512,Accepted,""
53769846,Accepted,""
52627123,Accepted,""
49503818,Accepted,""
136020791,Accepted,""
98633526,Accepted,""
22714023,Accepted,""
116034749,Accepted,""
32350450,Accepted,""
45267327,Accepted,""
48866438,Accepted,""
50278010,Accepted,""
2392328,Accepted,""
53276574,Accepted,""
119566511,Accepted,""
85144133,Accepted,""
103258836,Accepted,""
62725888,Accepted,""
81587678,Accepted,""
21344796,Accepted,""
72276086,Accepted,""
11100652,Accepted,""
65424405,Accepted,""
125686519,Accepted,""
134303333,Accepted,""
14316838,Accepted,""
40495733,Accepted,""
62435462,Accepted,""
93343795,Accepted,""
81412266,Accepted,""
10781599,Accepted,""
18262143,Accepted,""
138232914,Accepted,""
3084151,Pending,""
17267163,Accepted,""
130964766,Accepted,""
23504210,Accepted,""
26211324,Accepted,""
121232978,Accepted,""
31642951,Accepted,""
125953516,Accepted,""
18491240,Accepted,""
29654412,Accepted,""
12260685,Accepted,""
13227865,Accepted,""
43978547,Accepted,""
49387286,Accepted,""
51808344,Accepted,""
59220894,Accepted,""
50977523,Accepted,""
38488314,Accepted,""
34692739,Accepted,""
115166660,Accepted,""
121288832,Accepted,""
92330122,Accepted,""
2865891,Accepted,""
119276443,Accepted,""
102210581,Accepted,""
1037226,Accepted,""
60799900,Accepted,""
19189,Accepted,""
53886331,Accepted,""
140036123,Accepted,""
101262555,Accepted,""
70218011,Accepted,""
61679711,Accepted,""
58104221,Accepted,""
139556497,Accepted,""
115000330,Accepted,""
140747802,Accepted,""
140062679,Accepted,""
99765324,Accepted,""
56568596,Accepted,""
94359395,Accepted,""
139643079,Accepted,""
53079725,Accepted,""
109052449,Accepted,""
55268097,Accepted,""
84833515,Accepted,""
99617121,Accepted,""
26637638,Accepted,""
69294712,Accepted,""
87257184,Accepted,""
46933382,Accepted,""
133835485,Accepted,""
8672504,Accepted,""
63220886,Accepted,""
119633450,Accepted,""
22522267,Accepted,""
114589560,Accepted,""
59428206,Accepted,""
49662169,Accepted,""
36905639,Accepted,""
132256557,Accepted,""
123614573,Accepted,""
49312916,Accepted,""
69114973,Accepted,""
43819514,Accepted,""
95163344,Accepted,""
119372636,Accepted,""
67335681,Accepted,""
48918426,Pending,""
22885256,Accepted,""
22648137,Accepted,""
113563,Pending,""
5399108,Accepted,""
43422469,Accepted,""
33700832,Accepted,""
105781090,Accepted,""
82509867,Accepted,""
10075031,Accepted,""
4245580,Accepted,""
166758,Accepted,""
25810977,Accepted,""
35268468,Accepted,""
54031712,Accepted,""
28980034,Pending,""
28708770,Accepted,""
13048552,Accepted,""
102612700,Accepted,""
13260725,Accepted,""
2562695,Accepted,""
89935331,Accepted,""
23452778,Accepted,""
58158202,Accepted,""
16074123,Accepted,""
115808294,Accepted,""
59782258,Accepted,""
8709205,Accepted,""
735475,Accepted,""
15893883,Accepted,""
49470037,Accepted,""
32832607,Accepted,""
27285306,Accepted,""
3824994,Pending,""
46775520,Accepted,""
123148841,Accepted,""
116232054,Accepted,""
40334329,Accepted,""
58626610,Accepted,""
122316045,Accepted,""
7350059,Accepted,""
64863091,Accepted,""
28642786,Accepted,""
77950483,Accepted,""
126940765,Accepted,""
76252865,Accepted,""
90686208,Accepted,""
122915855,Accepted,""
33675378,Accepted,""
62001374,Accepted,""
15721061,Accepted,""
37373462,Accepted,""
123275618,Accepted,""
54295008,Accepted,""
82023477,Accepted,""
181904,Pending,""
49984632,Accepted,""
141297,Accepted,""
143902,Accepted,""
3955092,Accepted,""
18965281,Accepted,""
120100514,Accepted,""
9274772,Accepted,""
1983299,Accepted,""
15736963,Accepted,""
24575222,Accepted,""
20730776,Accepted,""
67219052,Accepted,""
12615367,Accepted,""
2650298,Accepted,""
83382638,Accepted,""
2944623,Accepted,""
116041738,Accepted,""
60628290,Accepted,""
96730852,Accepted,""
798275,Pending,""
21312529,Accepted,""
15964310,Accepted,""
1833065,Accepted,""
31290038,Accepted,""
107078643,Accepted,""
6243020,Accepted,""
2407080,Accepted,""
5178314,Accepted,""
70765404,Accepted,""
17642669,Accepted,""
40463579,Accepted,""
14003394,Accepted,""
15865010,Accepted,""
43656537,Accepted,""
27289609,Accepted,""
33263168,Accepted,""
5245285,Accepted,""
16942374,Accepted,""
6643620,Accepted,""
104244633,Accepted,""
26525039,Accepted,""
70146970,Accepted,""
57062290,Accepted,""
