Join Date,Name,Completed
"Aug 9, 2013, 1:11:53 AM",The Getaway,false
"Aug 9, 2013, 4:15:09 AM",CTS Bucket List Challenge,false
"Jun 5, 2014, 8:46:39 PM",June MTS,false
"Sep 7, 2014, 1:18:22 PM",Gran Fondo 9,true
"Jul 31, 2016, 1:09:17 AM",August Climbing Challenge,false
"Nov 6, 2017, 1:51:21 AM",November Half Marathon,true
"Jun 12, 2018, 11:23:49 PM",June 10k,true
"Jun 29, 2018, 2:20:27 AM",July 10k,true
"Jun 29, 2018, 2:20:36 AM",July Half Marathon,true
"Feb 27, 2019, 4:43:41 AM",March 5K Virtual Race,false
"Mar 10, 2019, 2:23:59 AM",Science in Sport 22k Isotonic Challenge,false
"May 24, 2019, 7:11:13 PM",June Cycling Climbing Challenge,false
"May 28, 2019, 5:06:50 PM",June 5K Virtual Race,true
"May 28, 2019, 5:06:58 PM",June 10K,true
"May 28, 2019, 5:07:00 PM",June Running Distance Challenge,false
"Jun 2, 2019, 5:37:33 PM",Race to the Moon,true
"Jun 12, 2019, 1:44:45 PM",June Half Marathon,true
"Jun 29, 2019, 1:53:46 AM",ROKA Le Défi 100,true
"Jun 29, 2019, 1:54:04 AM",June Cycling Distance Challenge,false
"Jun 29, 2019, 1:54:09 AM",June Gran Fondo,true
"Jun 29, 2019, 8:29:37 PM",Trek Century Challenge,true
"Jul 7, 2019, 11:17:43 PM",July Cycling Distance Challenge,false
"Jul 7, 2019, 11:17:51 PM",July Cycling Climbing Challenge,false
"Jul 9, 2019, 12:22:21 AM",Le Col Tour Challenge,true
"Jul 25, 2019, 9:18:42 PM",August 5K,true
"Jul 25, 2019, 11:46:35 PM",August 10K,true
"Aug 8, 2019, 4:18:31 PM",Brooks Best Fest Half Marathon,true
"Sep 24, 2019, 11:26:22 AM",Tracksmith Church of the Long Run,true
"Oct 27, 2019, 12:02:19 AM",November Running Distance Challenge,false
"Oct 27, 2019, 12:02:21 AM",November 10K,true
"Oct 27, 2019, 12:02:23 AM",November Half Marathon,true
"Oct 31, 2019, 1:37:46 AM",October Half Marathon,true
"Nov 6, 2019, 2:50:20 PM",AfterShokz Half Marathon Challenge,false
"Nov 21, 2019, 5:00:10 PM",The ROKA Turkey Trot Challenge,true
"Dec 14, 2019, 9:20:42 PM",December Half Marathon,true
"Dec 14, 2019, 9:20:48 PM",December 10K,true
"Dec 26, 2019, 5:45:00 PM",January 5K,true
"Jan 12, 2020, 3:20:51 PM",Le Col New Year Challenge,true
"Jan 12, 2020, 3:21:03 PM",January Half Marathon,true
"Jan 12, 2020, 3:21:08 PM",January 10K,true
"Jan 19, 2020, 2:42:03 AM",SiS ‘Start Strong’ Challenge,false
"Jan 25, 2020, 8:42:20 PM",February Half Marathon,false
"Jan 30, 2020, 11:45:45 PM",Salomon Nordic Ski Challenge,true
"Feb 2, 2020, 9:31:49 PM",February Triathlon Challenge,false
"Feb 25, 2020, 5:56:55 PM",March 5K,true
"Mar 24, 2020, 11:16:01 PM",The ROKA Feel Good 15,true
"Mar 24, 2020, 11:16:20 PM",March 10K,true
"Apr 11, 2020, 3:27:13 AM",April Cycling Distance Challenge,false
"Apr 23, 2020, 10:39:55 PM",SOLOdarity,true
"Apr 26, 2020, 4:04:36 AM",May – Ride On Challenge,true
"Apr 26, 2020, 4:04:42 AM",May Half Marathon,true
"May 3, 2020, 9:16:22 PM",May Gran Fondo,true
"May 13, 2020, 11:06:08 PM",May 10K,true
"May 13, 2020, 11:06:27 PM",May 5K,true
"May 13, 2020, 11:06:34 PM",Honey Stinger 50 Plus,true
"Jun 2, 2020, 1:30:36 PM",June Half Marathon,true
"Jun 2, 2020, 1:30:39 PM",June 5K,true
"Jun 2, 2020, 1:30:40 PM",June 10K,true
"Jun 30, 2020, 1:38:01 PM",July 5K,true
"Jun 30, 2020, 5:55:51 PM",July Half Marathon,true
"Jun 30, 2020, 5:55:56 PM",July 10K,true
"Jun 30, 2020, 5:56:09 PM",July Running Challenge,true
"Jun 30, 2020, 10:42:13 PM",Le Col Faster Further 400 Challenge,true
"Jul 2, 2020, 1:19:51 AM",Summer of Skratch,true
"Jul 3, 2020, 3:02:20 AM",HOKA Ekiden Strava Challenge,true
"Jul 3, 2020, 3:02:48 AM","You, But Faster, with Saucony",true
"Jul 6, 2020, 12:30:42 PM",July Gran Fondo,true
"Jul 6, 2020, 12:30:59 PM",Trek Century Challenge,true
"Jul 6, 2020, 10:15:31 PM",ROKA Tour de DIY,true
"Jul 14, 2020, 3:05:32 PM",July Cycling Challenge,true
"Jul 16, 2020, 5:06:27 PM",LG Get Started Virtual 5K,true
"Jul 23, 2020, 2:42:51 AM",July Running Endurance Challenge,true
"Jul 23, 2020, 2:43:04 AM",July Running Distance Challenge,true
"Jul 23, 2020, 2:43:13 AM",Le Col Flat Out For 5,true
"Jul 28, 2020, 5:19:28 PM",August Running Challenge,true
"Jul 28, 2020, 5:19:57 PM",August 5K,true
"Jul 28, 2020, 5:20:10 PM",August Half Marathon,true
"Jul 28, 2020, 5:20:12 PM",August 10K,true
"Jul 30, 2020, 11:35:14 PM",SHIMANO Grand Tour,true
"Aug 17, 2020, 4:31:00 PM",Picky Bars H(eat) it up Hundred,true
"Aug 21, 2020, 12:27:15 AM",August Running Distance Challenge,true
"Aug 21, 2020, 12:27:21 AM",August Gran Fondo,false
"Aug 26, 2020, 2:05:15 PM",September 10K,true
"Aug 26, 2020, 2:05:16 PM",September 5K,true
"Aug 27, 2020, 3:23:41 AM",September Half Marathon,true
"Aug 27, 2020, 3:23:43 AM",September Running Endurance Challenge,false
"Aug 27, 2020, 3:23:46 AM",September Running Distance Challenge,false
"Sep 8, 2020, 2:23:22 PM",September Running Challenge,true
"Sep 25, 2020, 8:06:04 PM",October Half Marathon,false
"Sep 25, 2020, 8:06:07 PM",October 10K,true
"Sep 29, 2020, 2:20:46 PM",October 5K,true
"Sep 29, 2020, 4:53:31 PM",66ºNorth Iceland Challenge,true
"Oct 28, 2020, 12:30:28 AM",November 5K,true
"Oct 28, 2020, 12:30:40 AM",November 10K,true
"Nov 14, 2020, 3:50:23 AM",Continental BlackChili Challenge,true
"Nov 16, 2020, 12:53:06 AM",Last of the Light,true
"Nov 20, 2020, 2:08:25 AM","fizik ride now, shop later",true
"Dec 12, 2020, 8:43:59 PM",December 10K,true
"Dec 12, 2020, 8:44:18 PM",December Half Marathon,true
"Dec 13, 2020, 12:43:07 AM",December Cycling Challenge,true
"Dec 23, 2020, 9:38:39 PM",Rapha #Festive500,true
"Dec 28, 2020, 3:34:10 PM",January Cycling Challenge,true
"Dec 30, 2020, 12:55:11 AM",December Gran Fondo,true
"Dec 30, 2020, 4:36:39 PM",Le Col Tick Off 2020 Challenge,true
"Jan 1, 2021, 12:32:37 AM",January 10K,true
"Jan 5, 2021, 5:58:50 PM",The SiS 'Set The Pace' Challenge,true
"Jan 16, 2021, 9:58:40 PM",Le Col Project 21 Challenge,true
"Jan 26, 2021, 12:18:21 AM",February Half Marathon,true
"Jan 26, 2021, 12:18:23 AM",February 10K,true
"Jan 26, 2021, 12:18:25 AM",February 5K,true
"Jan 28, 2021, 2:27:49 PM",Salomon Nordic Ski Challenge 2021,true
"Feb 2, 2021, 6:12:24 PM",February Cycling Challenge,false
"Feb 28, 2021, 10:41:54 PM",March 5K,true
"Feb 28, 2021, 10:42:03 PM",March 10K,true
"Mar 8, 2021, 11:48:43 PM",Crush It 4 Climate,true
"Mar 11, 2021, 2:22:05 PM",Smartwool Go Far. Feel Good. Challenge,true
"Mar 23, 2021, 10:30:22 PM",Le Col Project 200/200 Challenge,true
"Mar 25, 2021, 11:13:36 AM",The Altra 15-15-15 Challenge,true
"Mar 25, 2021, 11:13:48 AM",March Running Distance Challenge,true
"Mar 25, 2021, 11:14:04 AM",March Running Challenge,true
"Mar 25, 2021, 11:14:31 AM",The SHIMANO Happy One Hundred,true
"Mar 26, 2021, 12:31:10 AM",April Running Distance Challenge,true
"Mar 26, 2021, 12:31:11 AM",April Running Challenge,true
"Mar 26, 2021, 8:32:13 PM",April 10K,true
"Mar 26, 2021, 8:32:42 PM",April Half Marathon,true
"Mar 26, 2021, 8:32:42 PM",April 5K,true
"Mar 28, 2021, 2:57:55 AM",March Half Marathon,true
"Apr 24, 2021, 8:53:55 PM",RUN PUMA Deviate Challenge,true
"Apr 24, 2021, 8:54:09 PM",Le Col Level Up Challenge,true
"Apr 24, 2021, 8:54:17 PM",Wings for Life World Run Training Challenge,true
"Apr 26, 2021, 1:13:45 AM",May 5K,true
"Apr 26, 2021, 1:13:46 AM",May Running Challenge,true
"Apr 26, 2021, 1:13:50 AM",May Cycling Challenge,true
"Apr 26, 2021, 1:14:07 AM",May Half Marathon,true
"Apr 26, 2021, 1:14:11 AM",May Running Distance Challenge,true
"Apr 26, 2021, 1:14:16 AM",May 10K,true
"May 6, 2021, 5:31:18 PM",InsideTracker In It For The Long Haul,true
"May 10, 2021, 1:15:01 AM",The MAAP Blowout,false
"May 10, 2021, 1:15:11 AM",Salomon Running League,true
"May 16, 2021, 1:55:05 AM",Cookie 100,true
"May 22, 2021, 2:48:31 AM",dhb Don't Hold Back 100,true
"May 25, 2021, 1:46:30 AM",Le Col Project Aero Challenge,true
"May 25, 2021, 1:32:49 PM",ROKA Summer Session Challenge,true
"May 26, 2021, 1:50:25 AM",June 5K,true
"May 26, 2021, 1:50:37 AM",June 10K,true
"May 26, 2021, 2:16:32 AM",June Cycling Challenge,true
"May 26, 2021, 2:16:35 AM",June Gran Fondo,false
"May 26, 2021, 2:16:38 AM",June Long Run Challenge,false
"Jun 20, 2021, 2:48:09 PM",June Running Challenge,true
"Jun 20, 2021, 2:48:13 PM",June Half Marathon,true
"Jun 24, 2021, 12:44:09 PM",July Half Marathon,true
"Jun 24, 2021, 12:44:11 PM",July 5k,true
"Jun 24, 2021, 12:44:13 PM",July 10k,true
"Jun 28, 2021, 6:28:33 PM",July 30-Hour Challenge,true
"Jul 8, 2021, 1:19:37 AM",Wahoo MyRIVAL Challenge,true
"Jul 26, 2021, 8:25:07 PM",August Half Marathon,true
"Jul 27, 2021, 3:36:24 PM",Bag Some Skratch,true
"Aug 9, 2021, 9:07:36 PM",Momentous Find Your Podium Challenge,true
"Aug 18, 2021, 7:31:12 PM",Sweat with Picky Bar-osaurus,true
"Sep 5, 2021, 4:14:49 PM",September Running Distance Challenge,true
"Sep 5, 2021, 4:15:17 PM",September Running Challenge,true
"Sep 5, 2021, 4:15:18 PM",September 10k,true
"Sep 5, 2021, 4:15:19 PM",September 5k,true
"Sep 5, 2021, 4:15:19 PM",September Half Marathon,true
"Sep 5, 2021, 4:15:22 PM",September Gran Fondo,false
"Sep 5, 2021, 4:15:50 PM",Gatorade Endurance Fuel to Unlock Your Best Challenge,true
"Sep 26, 2021, 5:59:24 PM",October 5k,true
"Sep 26, 2021, 5:59:25 PM",October 10k,true
"Sep 27, 2021, 4:37:06 PM",Gatorade Powder Walmart 5K Challenge,true
"Oct 3, 2021, 12:55:32 AM",October Running Distance Challenge,false
"Oct 3, 2021, 12:55:39 AM",October Half Marathon,true
"Nov 1, 2021, 4:27:43 PM",November 5k,true
"Nov 1, 2021, 4:27:44 PM",November Half Marathon,true
"Nov 1, 2021, 4:27:45 PM",November 10k,true
"Nov 19, 2021, 10:35:47 PM",The Rapha Black Friday Ride,false
"Nov 21, 2021, 8:31:15 PM",November Running Distance Challenge,true
"Nov 21, 2021, 8:31:29 PM",November Gran Fondo,true
"Nov 21, 2021, 8:31:49 PM",Le Col 250 Tempo,true
"Nov 29, 2021, 12:10:49 AM",December 5k,true
"Dec 3, 2021, 7:05:41 PM",Rapha Festive 500,true
"Dec 5, 2021, 1:07:47 PM",December Running Distance Challenge,false
"Dec 5, 2021, 1:07:55 PM",December Half Marathon,true
"Dec 5, 2021, 1:07:56 PM",December 10k,true
"Dec 29, 2021, 3:06:29 PM",Le Col Project 22 Challenge,true
"Jan 1, 2022, 1:28:54 AM",Salomon Nordic Challenge - Ride the Stride,false
"Jan 26, 2022, 6:32:44 PM",February 10k,true
"Jan 26, 2022, 6:32:47 PM",February 5k,true
"Jan 29, 2022, 1:17:33 PM",XC Ski Challenge Powered by Swix,true
"Feb 12, 2022, 2:07:54 AM",Tour de Zwift Challenge,true
"Feb 12, 2022, 2:08:11 AM",February Half Marathon,true
"Feb 12, 2022, 2:08:17 AM",ROKA FROZEN 400,true
"Mar 5, 2022, 5:07:42 PM",March Half Marathon,true
"Mar 5, 2022, 5:07:59 PM",March 5k,true
"Mar 5, 2022, 5:08:00 PM",March Running Challenge,true
"Mar 5, 2022, 5:08:02 PM",March 10k,true
"Mar 5, 2022, 5:08:05 PM",March Running Endurance Challenge,false
"Mar 5, 2022, 5:08:13 PM",March Running Distance Challenge,false
"Mar 5, 2022, 5:08:18 PM",March Favorite Way 200K,true
"Mar 5, 2022, 5:08:27 PM",Le Col Shape Up Challenge,true
"Mar 5, 2022, 5:08:38 PM",ROKA NEW DAWN 200,true
"Mar 8, 2022, 1:59:40 PM",Miles in Merino by Tracksmith,false
"Apr 11, 2022, 11:24:59 PM",April 5k,true
"Apr 30, 2022, 2:31:53 AM",April Half Marathon,true
"Apr 30, 2022, 2:31:56 AM",April 10k,true
"Apr 30, 2022, 2:32:03 AM",May Half Marathon,true
"Apr 30, 2022, 2:32:07 AM",May 5k,true
"Apr 30, 2022, 2:32:07 AM",May 10k,true
"Apr 30, 2022, 2:32:13 AM",May Running Endurance Challenge,true
"May 16, 2022, 10:59:11 PM",It's Your Move Challenge,true
