Post Date,Post Summary,Post,Post URL,Photos
"Oct 4, 2024, 6:18:29 PM","","Had the unique opportunity to be featured as a guest on the Chasing Three Hours Podcast! 

Check it out if you are interested in hearing our discussion about endurance sports and how things are going one week out from the 2024 Chicago marathon. 

Strava seems to have banned links, but you can find it on Spotify by searching “chasing three hours”

","",media/fdmwm1hqmu5.jpg
"Jun 3, 2023, 10:55:34 PM",26x1 Photo Album 2023,FULL album: https://photos.app.goo.gl/Zbb9jGukmJ3c2k7V8,"",media/ad1e2b0d-d9c0-4b17-8759-7ac9ce7ffe98.jpg|media/c5457005-2520-415a-ad04-fe85b9ee1ea4.jpg|media/9d0820e0-4acd-4a71-bb4d-2dbb4baab610.jpg|media/93d11628-c124-4644-82aa-bd367134d839.jpg
"Jun 29, 2022, 1:26:45 AM",,Anyone else noting weird GPS track oddities today?? Bad tracking on multiple activities makes me think something is askew in Satellite land.  Screws up live paces too.,"",""
"Jun 9, 2022, 12:41:45 AM",Photos from tonight’s time trial,https://photos.app.goo.gl/iAyW9w9DdUB54SCn7,https://photos.google.com/share/AF1QipP02JfR-sExCnS_8syNlehIPsLliVLieL1FqgR-mcshcOwKb4qudgeAoWF0cYQebg?key=blBSN0p2cGNPZE5NRjMtVDNiMkpKWW9OaVVXd3dR,""
"May 25, 2022, 3:23:04 PM",Charlie Baker Time Trial - 5/25,"Registration: 
https://www.bikereg.com/events/?ns=Charlie%20baker%20time%20trial

The weather is perfect this afternoon for the weekly time trial! ",https://www.bikereg.com/events/?ns=Charlie%20baker%20time%20trial,""
"May 11, 2022, 8:16:43 PM",CBTT starts up tonight (every Wednesday 6PM in Concord),https://www.bikereg.com/charlie-baker-time-trial-2022,"",media/9A439A71-613F-4C9C-AF2F-1A6613F60D4D.jpg
"Feb 16, 2022, 4:12:30 PM",Photos from last night's race,"https://photos.app.goo.gl/t1sf21Lj2A7gdie28

","",media/84f9abbe-9711-49cc-b84f-d1a02137eb02.jpg|media/e131e60c-f5ed-4c1a-bbd3-0b85fa00c03d.jpg|media/ad260eab-44c0-4b89-8970-fa7f909375da.jpg
"Jul 2, 2021, 6:44:14 PM",Don't tread on me,"Looking for my fellow athletes to share their disapproval with the DCR's decision to BAN open water swimming at Walden Pond, effective today.  

Access to these natural and beautiful public places is a basic right!","",media/a3efac95-f222-4ea4-afd6-b79baaac0763.jpg
"Jun 4, 2021, 11:43:37 AM","Mystic Lakes TT - June 4, 2021",Happy Friday TT riders!  Results will be posted later than usual as I am traveling today - but ideally I’ll have them up within the next 24 hours.  Good luck and ride safe!    -AD,"",""
"May 15, 2021, 2:09:59 AM",CRW TT Week 2 - Results,"https://docs.google.com/spreadsheets/d/1NInv_e2_wLYvXURufSyPGrpLViXq2v27wczXeCl4rIo/edit?usp=sharing

We had a fantastic 2nd week with over 29 finishers! Lots of great results. 

Results are linked. If you rode and don't see yourself in the list, submit your time manually via the included link. Thank you everyone for a successful day of riding, and a big congratulations to everyone who accomplished a PR. ","",media/aca5843a-12b4-4a7f-bddc-5d8f8f9489f3.jpg
"Apr 27, 2021, 7:52:50 PM",CRW Time Trial Registration is now open,"You can now pre-register for the CRW Mystic Lakes TT Series - We are looking to hold the first virtual event of the series on May 7, 2021    Register here for free to express your interest. 

https://forms.gle/yuJTMzSZ3QXHJUqx5

Note: CRW Membership REQUIRED:  Only  $15 bucks a year. 
","",""
"Apr 5, 2021, 1:06:03 PM","Free Time Trial Webinar!  April 15, 7 PM","
I am hosting a FREE CRW Time Trialing clinic and kickoff for the upcoming Mystic Lakes TT season. 
We will be discussing pacing, equipment, and what we plan to do this year for the series! 

Anyone interested in cycling or triathlon is encouraged to join. April 15, 7PM

https://www.strava.com/clubs/155/group_events/918939",https://www.strava.com/clubs/155/group_events/918939,""
"Mar 25, 2021, 12:18:22 AM",,"CRW Group ride tomorrow from Alewife 

https://strava.app.link/SYuFSXcRTeb",https://strava.app.link/SYuFSXcRTeb,""
"Mar 10, 2021, 4:13:43 AM",Photos from Weston Ski Track - Race #10,https://photos.app.goo.gl/vBVTjE5EA8JV2Rk99,https://photos.google.com/share/AF1QipOjrIeQo51yCjdu58U36xC5a5dAF0RHOlyGA00j3Yq_Hjf2kgYPFikWVfFRDEw0fw?key=U3dyUzFmZVNPLXZfUTBRRnBzdzBnbTh1QUxDU3Fn,""
"Feb 3, 2021, 4:04:26 PM",More photos!,https://photos.app.goo.gl/6cLvuCDo1GoHnyZZ6,"",""
"Feb 3, 2021, 3:49:42 PM",Photos from last night's race,"https://photos.app.goo.gl/6cLvuCDo1GoHnyZZ6
Album with 300+ photos

Please share and enjoy!","",media/3022b338-e57b-47ca-9d59-6c6fe551e620.jpg|media/ef245b9d-1459-4bbb-896a-59a7d1e29633.jpg|media/62745143-8833-41d9-979d-d30012aaaed8.jpg|media/19f47d6a-7abc-4c3e-bc5b-0b9b312844cb.jpg|media/6e131abb-5650-4c33-9776-22bfef0f7841.jpg|media/2af7404e-1b61-438e-9580-e8d2da8174a5.jpg
"Jan 27, 2021, 3:04:35 AM",Some photos from tonight's race,Album:  https://photos.app.goo.gl/D18XvMQitTTJE6ad6,"",media/0f349107-cc28-4d47-bde7-89f17237875d.jpg|media/a039c60c-f057-4bf2-8665-3cbab5fde422.jpg|media/52aa1326-f2b3-4bd9-a5ad-a79c77d44f97.jpg
"Jan 20, 2021, 4:15:10 AM",,"Some photos from tonight’s Weston Ski Track race: 

https://photos.app.goo.gl/CcGcEUXC5X9NosS3A",https://photos.google.com/share/AF1QipMIvO1034589dmM6DQ0ZC74urGHmOPpW31TWP9IIMDbNR0BRJCC-ymTzvQBQbSWAQ?key=QTZERFpsQ1daeVl2Vy04R29yTGJxdS1xOXRzcUFn,""
"Jan 20, 2021, 4:13:50 AM",,"Photos from tonight’s Weston CSU Ski race

https://photos.app.goo.gl/CcGcEUXC5X9NosS3A",https://photos.google.com/share/AF1QipMIvO1034589dmM6DQ0ZC74urGHmOPpW31TWP9IIMDbNR0BRJCC-ymTzvQBQbSWAQ?key=QTZERFpsQ1daeVl2Vy04R29yTGJxdS1xOXRzcUFn,""
"Oct 23, 2020, 1:46:11 PM",Mystic Lakes Time Trial - Week 3,"This week's Time Trial is underway! I will be around this afternoon from 4PM onwards near the start for photos and help anyone out with directions. If you are interested in participating, all you need to do is complete the segment at any time today, and we will take care of the rest.  Hope to see some of you out there! 

RSVP: https://www.strava.com/clubs/155/group_events/749172

Here's the results as they come in: https://tinyurl.com/MysticTT	
",https://www.strava.com/clubs/155/group_events/749172,""
"Oct 14, 2020, 2:08:13 PM",How to enable Strava Fly-By,"Looks like Strava has changed everyone's settings for Fly-By to 'opt-out' by default - 
If you want to re-enable, go to Settings > Privacy Controls > Flyby - to adjust. 

","",media/00e94041-3747-4699-8b21-246764901933.jpg
"Oct 6, 2020, 6:30:14 PM",Mystic Time Trial - Friday Oct 9,"Sad you didn't get to race all season? Now you can, for free! 
Self-directed individual time trial, All-day, Friday, October 9. Ride one hot-lap of the Mystic Lakes.  

A friendly group will meet at 5:30pm (Kimball Rd @ Mystic Street) but all times logged throughout the day will be posted. Feel free to do as many laps as you choose and your best time will be considered. If it's successful, I can see it becoming a weekly event. Do review the specific segment that will count toward the leaderboard and remember: SAFETY FIRST. 

Please see this  CRW event page for more details and to confirm your participation. 
This is not a sanctioned, insured, or sponsored event. Good luck! 

https://www.strava.com/clubs/155/group_events/749172?fbclid=IwAR0uK36wGAjgDte0KfAl5AhZckPWuzzBzTK7Er0pRWC2tVi9GfghxlscnQE#discussion","",media/1dffcc78-f7af-40a4-9ea9-264c8a2529cb.jpg|media/d1b292fd-e034-4055-a7a5-bcb2fb5d2d38.jpg
"Sep 28, 2020, 6:57:32 PM",Monday afternoon group ride from Alewife,"Casual no-leader fitness oriented ride leaving from Alewife on Mondays 5:15PM . For anyone looking for a safer small but friendly group I'd encourage you to check it out. 
Avg speed around 18-20 mph on a rolling 21 mile loop out to Lincoln and back. 

https://www.strava.com/clubs/155/group_events/793623",https://www.strava.com/clubs/155/group_events/793623,""
"Dec 23, 2019, 8:35:05 PM",,"Biggest difference in 2019 was far many more miles running than previous years, almost as many hours spent running as on the bike, which is crazy!

https://2019.strava.com?utm_source=strava_post&utm_medium=social&utm_campaign=yis2019","",media/4b7fb219-5f03-4202-afce-aa9c45381a12.jpg
