Segment Name,Activity ID,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude
Woodland Drive East-West,72726394,42.30061,-72.708252,42.300032,-72.713046
Saw Mill Loop ,72726394,42.330179,-72.679907,42.331073,-72.680256
Chancellor Drive Hill ,81813191,42.391227,-72.522667,42.390631,-72.519818
Thatcher Way Northbound ,81813191,42.387253,-72.52247,42.395672,-72.524195
Railroad St to Boltwood Ave Climb,193584641,42.373128,-72.511491,42.373286,-72.518871
Triangle Street Inbound,205722695,42.376089,-72.512952,42.381217,-72.5188
Woodland Drive - West-East,319064705,42.300235,-72.713129,42.300969,-72.70831
Easthampton Rd NB,319064705,42.294058,-72.735046,42.312776,-72.762713
Dear Island Ridge Sprint,364531874,42.355814,-70.966681,42.354969,-70.959134
Deer Island Ridge Sprint- Reverse ,364531874,42.355078,-70.959427,42.355852,-70.966214
Bunker Hill Climb,364531874,42.374443,-71.062734,42.377106,-71.061261
Somerset St Climb,395783954,42.360719,-71.061399,42.359186,-71.061665
Davis to Alewife and Back,431161302,42.396961,-71.122518,42.396917,-71.122515
Davis to Alewife and Back,431161302,42.396961,-71.122518,42.396917,-71.122515
Powderhouse Square Stop - Dearborn Road Stop,561372502,42.40163,-71.116843,42.405119,-71.117358
Conant Descent ,601022181,42.401361,-71.289605,42.395962,-71.293398
Tufts Critter 1,604347503,42.404576,-71.123814,42.404801,-71.123257
Tufts Critter 2,604347503,42.404607,-71.123887,42.404732,-71.123303
Ivy League Loop,604347503,42.40508,-71.110242,42.405155,-71.110051
Pearson Ave Attack,604347503,42.398085,-71.110581,42.395041,-71.11262
Around Tufts,604347503,42.401351,-71.117341,42.401495,-71.116869
Kidder Ave Attack,604347503,42.39932,-71.118623,42.396942,-71.112269
Enjoy the View,605307747,42.262499,-70.984461,42.261633,-70.979711
Mears Ave Climb,605307747,42.273025,-70.950276,42.275663,-70.952366
Babson Hustle ,607571433,42.303905,-71.251276,42.30024,-71.271696
Latinam viam ascendenti,609567799,42.404377,-71.121556,42.405335,-71.12084
College Ave Descent ,609567799,42.406384,-71.117066,42.40207,-71.116914
129 - Baldwin to Shawsheen,616705859,42.570567,-71.226979,42.555966,-71.187641
Land of Lakes,616705859,42.423887,-71.142801,42.477007,-71.156077
Presidential (Speed)way,616705859,42.524765,-71.147602,42.51844,-71.138796
Woburn St Dragstrip ,616705859,42.532215,-71.14995,42.524901,-71.148225
